"Ár";"Starf";"Kyn";"Heildarlaun Meðaltal"
"2007";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";693
"2007";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";573
"2007";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";573
"2007";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";680
"2007";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";647
"2007";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";556
"2008";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";696
"2008";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";726
"2008";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";782
"2008";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";627
"2008";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";642
"2008";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";758
"2008";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";681
"2008";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";587
"2009";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";644
"2009";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";659
"2009";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";725
"2009";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";595
"2009";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";701
"2009";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";648
"2009";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";643
"2009";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";552
"2010";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";654
"2010";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";664
"2010";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";736
"2010";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";639
"2010";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";654
"2010";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";650
"2010";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";648
"2010";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";564
"2011";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";696
"2011";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";703
"2011";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";776
"2011";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";686
"2011";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";708
"2011";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";684
"2011";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";708
"2011";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";588
"2012";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";751
"2012";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";756
"2012";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";852
"2012";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";838
"2012";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";695
"2012";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";723
"2012";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";721
"2012";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";668
"2013";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";774
"2013";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";798
"2013";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";931
"2013";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";862
"2013";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";748
"2013";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";776
"2013";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";718
"2013";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";670
"2014";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";801
"2014";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";809
"2014";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";946
"2014";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";867
"2014";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";769
"2014";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";796
"2014";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";749
"2014";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";691
